,uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration,h/s
0,spotify:track:7BVwi9cIzSc6tpyxsp47vJ,0.047,0.272,0.595,0.723,7,0.0286,0.0995,-8.256,0.0349,108.043,223640,h
1,spotify:track:2fpDrL2Vpee0JnM6AoUFvl,0.000921,0.178,0.486,0.638,0,0.0,0.078,-6.231,0.0323,144.458,199827,h
2,spotify:track:0HL3y3bsKSARBSP0qaImwb,0.271,0.372,0.639,0.666,0,0.0,0.111,-7.775,0.0636,98.384,213733,h
3,spotify:track:5g7rJvWYVrloJZwKiShqlS,0.107,0.133,0.359,0.649,3,0.0124,0.0555,-7.06,0.0349,111.709,278373,h
4,spotify:track:75nZ4W6quZhI55LKiqCXWh,0.796,0.332,0.584,0.474,9,2.69e-06,0.115,-7.981,0.0258,101.457,280795,h
5,spotify:track:6YfEvtwpQwGAWZBWzNmoIw,0.00203,0.766,0.614,0.744,7,0.0797,0.0664,-5.647,0.0407,135.093,253733,h
6,spotify:track:4d4OJTq2Yl7TyiuGMLxa1h,0.662,0.351,0.572,0.409,3,0.296,0.125,-11.384,0.0377,129.983,247373,h
7,spotify:track:08cXy6KUizaAelYXtcew3w,0.663,0.596,0.388,0.595,1,5.58e-05,0.178,-9.799,0.0325,190.043,204213,h
8,spotify:track:2kG5litgxXvx6ZRgwO1v7W,0.0372,0.249,0.396,0.677,3,0.000137,0.112,-7.513,0.0354,135.177,239880,h
9,spotify:track:4wDhECcwcKR4jZEEDiye5a,0.666,0.302,0.66,0.618,8,0.00176,0.184,-8.136,0.04,108.942,195680,h
10,spotify:track:23cj0rlc0UtTBaCg60VCkm,0.0299,0.578,0.604,0.841,1,0.00382,0.136,-5.145,0.0423,138.976,203310,h
11,spotify:track:7j9eqHzhqBEfr9Unn6zdOS,0.052,0.872,0.702,0.887,7,0.0,0.143,-4.941,0.0642,95.029,139787,h
12,spotify:track:2D3OzSwTcwuNWWs8MacKqz,0.279,0.364,0.641,0.533,7,6.06e-05,0.113,-8.909,0.0287,95.776,162107,h
13,spotify:track:0ewrI06EIDMGXvgJxuyF3U,0.303,0.737,0.576,0.609,7,0.0,0.164,-5.921,0.107,86.703,212800,h
14,spotify:track:3ihp0qYSN89GBnrgF6GhRh,0.637,0.914,0.651,0.621,8,0.000122,0.0712,-7.271,0.0359,77.578,135560,h
15,spotify:track:2LY0DjFGGF0JQugFzWSGpi,0.658,0.606,0.661,0.585,5,0.876,0.102,-11.255,0.0367,129.98,273533,h
16,spotify:track:7vVtCG0LmChEV6NaIwALOh,0.192,0.162,0.586,0.54,0,0.0,0.127,-5.761,0.0255,82.156,252302,h
17,spotify:track:23HxMVdUqSsWwar52dS4ZT,0.206,0.546,0.574,0.667,5,0.352,0.0852,-5.425,0.0301,88.299,226187,h
18,spotify:track:0C9uaJt51ytJgwiZpRYyGM,0.00616,0.318,0.6,0.861,5,0.0,0.112,-3.975,0.0572,110.05,229960,h
19,spotify:track:4F9jpNQDKRFoyM4Ebpni6S,0.183,0.184,0.428,0.724,11,0.000136,0.251,-7.264,0.0434,146.917,207519,h
20,spotify:track:4Ta3PhWmY50ZLU1uhKFKPE,0.247,0.258,0.614,0.684,0,0.0,0.0976,-5.79,0.157,156.85,245700,h
21,spotify:track:3ohMvJzJyBzklKAqCNEaIg,0.102,0.509,0.484,0.736,9,6.6e-06,0.218,-5.483,0.0417,85.942,170490,h
22,spotify:track:6e0TEaeQcwhS8ktu5q0AYX,0.725,0.608,0.824,0.523,2,0.0124,0.119,-9.055,0.112,100.001,253000,h
23,spotify:track:2f6pqUyFcs3NUSoz49H9nw,0.947,0.293,0.622,0.191,10,0.00602,0.106,-11.141,0.0299,134.853,233333,h
24,spotify:track:1QkaMwPSBLV0GTvjy2VEZ3,0.162,0.623,0.467,0.779,10,6.29e-05,0.102,-5.471,0.0464,140.007,269613,h
25,spotify:track:2ZR7DiAXXAOUr85ZBreWt4,0.658,0.659,0.523,0.714,11,5.2e-06,0.0785,-6.021,0.0367,78.211,216120,h
26,spotify:track:0CKT4fraX6cV2T0HeGGIJm,0.137,0.249,0.373,0.681,2,0.633,0.145,-8.002,0.0385,168.533,289162,h
27,spotify:track:1UM7bluhwWTGfhvWWOshk7,0.0538,0.624,0.431,0.823,7,2.48e-05,0.0855,-5.592,0.122,176.536,227105,h
28,spotify:track:0o8LEuOfOGDJK1o6d9yTUu,0.1,0.729,0.559,0.915,2,0.000252,0.221,-5.386,0.0308,127.024,208333,h
29,spotify:track:4LSi50PwwZFOpkusSFu9Pd,0.725,0.338,0.762,0.472,3,0.00214,0.0737,-9.271,0.0345,96.201,204333,h
30,spotify:track:3sdpasrIhFH4gWuoi0iWym,0.431,0.31,0.662,0.947,7,0.007,0.0974,-6.409,0.0517,110.006,236280,h
31,spotify:track:4gC1lcd3iTdQ62iBVtDBFu,0.932,0.442,0.501,0.533,8,0.00362,0.0642,-4.715,0.0384,119.062,202757,h
32,spotify:track:0pXkRtFSYDSln6ITAPLPeP,0.654,0.548,0.618,0.749,11,0.213,0.255,-5.093,0.0304,111.986,194129,h
33,spotify:track:2ToW7zhGCrVrLU4fiKj9U1,0.228,0.485,0.536,0.775,8,0.000143,0.0947,-6.765,0.0394,151.393,201413,h
34,spotify:track:5r47m8Td4m1CCzCHiKDBEd,0.022,0.311,0.374,0.798,2,6.29e-06,0.403,-4.66,0.111,152.058,160600,h
35,spotify:track:4C2yMWKNf2gLgXZgdhazzu,0.373,0.683,0.5,0.764,9,0.0014,0.287,-7.571,0.0414,85.98,197597,h
36,spotify:track:1o24Xqw0n5tQHJqpZDCXp7,0.742,0.431,0.55,0.324,0,0.000486,0.106,-10.713,0.0453,74.003,180416,h
37,spotify:track:6VJESmw3puw9eFpmglP2dM,0.435,0.852,0.959,0.424,2,0.00049,0.107,-9.5,0.0522,108.997,192743,h
38,spotify:track:47KDDZgFiX1w6RFOuLXsSn,0.73,0.423,0.564,0.354,7,3.43e-06,0.208,-10.85,0.0334,98.075,240587,h
39,spotify:track:3ocLv1zQYgIT09uIWjmTSz,0.408,0.376,0.616,0.754,7,3.45e-06,0.127,-7.312,0.0689,117.924,190787,h
40,spotify:track:7nlGMUcyIGWZQFkOOxOWl5,0.0897,0.477,0.499,0.94,0,7.28e-05,0.109,-2.741,0.0332,112.02,195000,h
41,spotify:track:4l94386YhnCzduk44xzFRx,0.00594,0.393,0.547,0.848,2,0.0,0.0743,-5.622,0.068,128.987,170960,h
